-30.165999999999983 -8.449
2.080413793103448 0.5826896551724138
30 30
9.248474147488742e-05+0j 0.0015129005982893837+0j
8.610648344213002e-05+0j 0.0015129005982893833+0j
7.972822540937395e-05+0j 0.0015129005982893828+0j
7.334996737661836e-05+0j 0.0015129005982893826+0j
6.697170934386409e-05+0j 0.0015129005982893822+0j
6.0593451311109395e-05+0j 0.0015129005982893818+0j
5.421519327835432e-05+0j 0.0015129005982893813+0j
4.7836935245601416e-05+0j 0.001512900598289381+0j
4.1458677212847264e-05+0j 0.0015129005982893805+0j
3.508041918009444e-05+0j 0.00151290059828938+0j
2.8702161147342483e-05+0j 0.0015129005982893796+0j
2.232390311459058e-05+0j 0.0015129005982893794+0j
1.594564508183868e-05+0j 0.001512900598289379+0j
9.567387049087725e-06+0j 0.0015129005982893785+0j
3.1891290163367438e-06+0j 0.001512900598289378+0j
-3.1891290164132884e-06+0j 0.0015129005982893776+0j
-9.567387049162914e-06+0j 0.0015129005982893772+0j
-1.5945645081912513e-05+0j 0.001512900598289377+0j
-2.2323903114660756e-05+0j 0.0015129005982893766+0j
-2.8702161147408972e-05+0j 0.0015129005982893763+0j
-3.508041918015673e-05+0j 0.001512900598289376+0j
-4.1458677212904917e-05+0j 0.0015129005982893755+0j
-4.7836935245651764e-05+0j 0.001512900598289375+0j
-5.4215193278397446e-05+0j 0.0015129005982893746+0j
-6.05934513111437e-05+0j 0.0015129005982893742+0j
-6.697170934388927e-05+0j 0.0015129005982893737+0j
-7.334996737663426e-05+0j 0.0015129005982893733+0j
-7.972822540937887e-05+0j 0.001512900598289373+0j
-8.610648344212302e-05+0j 0.0015129005982893727+0j
-9.248474147486667e-05+0j 0.0015129005982893722+0j
-7.737060641791106e-05+0j 0.00481021544276701+0j
-0.00012475355962044836+0j 0.004832482707335166+0j
-0.00017382999536939527+0j 0.004854749971903322+0j
-0.00022459991366475282+0j 0.0048770172364714795+0j
1.495616776259201e-07+0j 0.004626716237927102+0j
1.353177083228776e-07+0j 0.004626716237927101+0j
1.2107373902064825e-07+0j 0.004626716237927099+0j
1.0682976971939468e-07+0j 0.0046267162379270985+0j
9.258580041811401e-08+0j 0.004626716237927098+0j
7.834183111602019e-08+0j 0.004626716237927095+0j
6.409786181652845e-08+0j 0.004626716237927094+0j
4.9853892516223564e-08+0j 0.004626716237927093+0j
3.560992321705709e-08+0j 0.0046267162379270916+0j
2.136595391789061e-08+0j 0.004626716237927091+0j
7.1219846189409745e-09+0j 0.00462671623792709+0j
-7.12198467908709e-09+0j 0.004626716237927088+0j
