-0.2499999720603232 0.37500001396983884
0.017241377383470625 -0.02931034552126096
30 30
1.1830606182307415+0j -1.3485440309938794+0j
1.4509928565154435+0j -1.4226421753034755+0j
1.718925094800148+0j -1.4967403196130715+0j
1.9868573330848525+0j -1.5708384639226667+0j
0.3270559554091906+0j 0.9734086496336203+0j
0.31572717544960777+0j 0.8911516334387921+0j
0.3043983954900252+0j 0.8088946172439638+0j
0.29306961553044314+0j 0.7266376010491354+0j
0.28174083557086144+0j 0.6443805848543073+0j
0.27041205561127996+0j 0.5621235686594788+0j
0.2590832756516989+0j 0.47986655246465065+0j
0.2477544956921182+0j 0.39760953626982254+0j
0.23642571573253773+0j 0.3153525200749943+0j
0.22509693577295775+0j 0.2330955038801659+0j
0.21326474897816944+0j 0.32560946195746093+0j
0.17695026190108257+0j 0.3027032373856088+0j
0.162443271968255+0j 0.2914787989407646+0j
0.14793628203542766+0j 0.28025436049592056+0j
0.13342929210260043+0j 0.26902992205107656+0j
0.11892230216977345+0j 0.25780548360623246+0j
0.1044153122369465+0j 0.24658104516138832+0j
0.08990832230411977+0j 0.2353566067165443+0j
0.07730266747853773+0j 0.22435104051902688+0j
0.06963758814429692+0j 0.22260326708601627+0j
0.06197250881005609+0j 0.22085549365300564+0j
0.05430742947581518+0j 0.21910772021999506+0j
0.04664235014157426+0j 0.21735994678698448+0j
0.03897727080733333+0j 0.21561217335397384+0j
0.031312191473092284+0j 0.2138643999209632+0j
0.023647112138851224+0j 0.21211662648795254+0j
0.11316419634737805+0j -1.3486949188330855+0j
0.11342105272344524+0j -1.422793063142679+0j
0.11367790909951186+0j -1.4968912074522729+0j
0.11393476547557775+0j -1.5709893517618665+0j
0.0001222960717022759+0j 0.6739524395891402+0j
0.2999246033727601+0j 0.8978156207478392+0j
0.2885958234131776+0j 0.815558604553011+0j
0.27726704345359526+0j 0.7333015883581829+0j
0.2659382634940134+0j 0.6510445721633548+0j
0.2546094835344319+0j 0.5687875559685265+0j
0.24328070357485068+0j 0.4865305397736985+0j
0.2319519236152699+0j 0.40427352357887025+0j
0.22062314365568939+0j 0.3220165073840422+0j
0.2092943636961092+0j 0.23975949118921402+0j
0.19753814873716097+0j 0.3309681073901122+0j
0.18842845026797297+0j 0.319614668672245+0j
0.17931875179878462+0j 0.3082612299543779+0j
0.14686592286294156+0j 0.28878788283016404+0j
0.13235893293011433+0j 0.27756344438532+0j
0.11785194299728727+0j 0.266339005940476+0j
0.10334495306446029+0j 0.25511456749563194+0j
0.08883796313163345+0j 0.24389012905078794+0j
0.07477193875001055+0j 0.2288599101050244+0j
0.06710685941576978+0j 0.22711213667201374+0j
0.05944178008152897+0j 0.22536436323900308+0j
0.05177670074728808+0j 0.22361658980599242+0j
0.044111621413047176+0j 0.22186881637298186+0j
0.036446542078806245+0j 0.22012104293997123+0j
0.02878146274456525+0j 0.21837326950696062+0j
0.02111638341032421+0j 0.2166254960739499+0j
0.10576686484755919+0j -1.348846010798546+0j
0.1060237212236264+0j -1.4229441551081399+0j
0.10628057759969299+0j -1.497042299417734+0j
0.000429185690159355+0j -1.339674878824848+0j
0.0001222960717023408+0j 0.6737989939023421+0j
0.28412203129591257+0j 0.9044796080568865+0j
0.27279325133632987+0j 0.8222225918620584+0j
0.2614644713767476+0j 0.7399655756672302+0j
0.2501356914171656+0j 0.6577085594724023+0j
0.23880691145758387+0j 0.575451543277574+0j
0.22747813149800256+0j 0.49319452708274614+0j
0.21614935153842157+0j 0.410937510887918+0j
0.20482057157884095+0j 0.32868049469309+0j
0.19349179161926067+0j 0.24642347849826188+0j
0.1818115484961525+0j 0.33632675282276325+0j
0.1727018500269644+0j 0.32497331410489594+0j
0.16359215155777604+0j 0.31361987538702873+0j
0.15448245308858746+0j 0.3022664366691616+0j
0.13128857375762815+0j 0.28609696671956353+0j
0.11678158382480107+0j 0.2748725282747195+0j
0.10227459389197406+0j 0.2636480898298754+0j
0.08776760395914719+0j 0.25242365138503153+0j
0.07224121002148344+0j 0.2333687796910219+0j
0.06457613068724263+0j 0.23162100625801124+0j
0.05691105135300187+0j 0.22987323282500058+0j
0.049245972018760985+0j 0.22812545939198997+0j
0.0415808926845201+0j 0.22637768595897934+0j
0.0339158133502792+0j 0.2246299125259687+0j
0.0262507340160382+0j 0.222882139092958+0j
0.01858565468179716+0j 0.22113436565994743+0j
0.09836953334774043+0j -1.3489971027640066+0j
0.09862638972380759+0j -1.4230952470736005+0j
0.09888324609987403+0j -1.4971933913831954+0j
0.0004291856901593363+0j -1.339061757395089+0j
0.0001222960717024057+0j 0.6736455482155442+0j
0.0003831537745788143+0j 0.6389713206183443+0j
0.25699067925948227+0j 0.8288865791711056+0j
0.24566189929989976+0j 0.7466295629762773+0j
0.23433311934031764+0j 0.6643725467814495+0j
0.22300433938073586+0j 0.5821155305866214+0j
0.21167555942115437+0j 0.49985851439179346+0j
0.20034677946157328+0j 0.4176014981969655+0j
0.18901799950199255+0j 0.33534448200213773+0j
0.17768921954241212+0j 0.2530874658073095+0j
0.16608494825514405+0j 0.3416853982554143+0j
0.15697524978595578+0j 0.33033195953754696+0j
0.14786555131676735+0j 0.3189785208196797+0j
0.13875585284757877+0j 0.30762508210181244+0j
0.1296461543783899+0j 0.2962716433839451+0j
0.11571122465231486+0j 0.28340605060896296+0j
0.10120423471948777+0j 0.27218161216411896+0j
0.08669724478666092+0j 0.2609571737192751+0j
0.0697104812929563+0j 0.2378776492770195+0j
0.06204540195871553+0j 0.2361298758440088+0j
0.05438032262447475+0j 0.23438210241099816+0j
0.04671524329023391+0j 0.23263432897798747+0j
0.039050163955993034+0j 0.23088655554497683+0j
0.03138508462175211+0j 0.2291387821119662+0j
0.012752361649605914+0j 0.2304192584062644+0j
0.010667840720214802+0j 0.2258412437183747+0j
0.09097220184792161+0j -1.3491481947294675+0j
0.09122905822398879+0j -1.4232463390390617+0j
0.09148591460005526+0j -1.497344483348656+0j
0.00042918569015931767+0j -1.3384486359653296+0j
0.00012229607170247055+0j 0.6734921025287466+0j
0.0003831537745790176+0j 0.6388178749315467+0j
0.2411881071826345+0j 0.8355505664801522+0j
0.22985932722305197+0j 0.7532935502853244+0j
0.2185305472634697+0j 0.6710365340904965+0j
0.20720176730388787+0j 0.5887795178956686+0j
0.19587298734430628+0j 0.5065225017008409+0j
0.18454420738472502+0j 0.424265485506013+0j
0.17321542742514412+0j 0.3420084693111852+0j
0.16188664746556355+0j 0.2597514531163573+0j
0.1503583480141355+0j 0.3470440436880651+0j
0.1412486495449472+0j 0.3356906049701978+0j
0.13213895107575876+0j 0.3243371662523304+0j
0.12302925260657006+0j 0.3129837275344631+0j
0.11391955413738107+0j 0.30163028881659565+0j
0.10480985566819198+0j 0.29027685009872833+0j
0.09570015719900253+0j 0.2789234113808611+0j
0.08562688561417463+0j 0.26949069605351855+0j
0.07111989568134787+0j 0.2582662576086747+0j
0.059514673230188414+0j 0.2406387454300063+0j
0.051849593895947635+0j 0.23889097199699563+0j
0.044184514561706814+0j 0.23714319856398494+0j
0.01692140350838811+0j 0.2408014763979817+0j
0.014836882578997066+0j 0.23622346171009206+0j
0.012752361649605947+0j 0.2316454470222024+0j
0.010667840720214828+0j 0.22706743233431276+0j
0.08357487034810274+0j -1.349299286694928+0j
0.08383172672417+0j -1.4233974310045228+0j
0.08408858310023641+0j -1.497495575314117+0j
0.000429185690159299+0j -1.3378355145355703+0j
0.00012229607170253544+0j 0.6733386568419489+0j
0.0003831537745792209+0j 0.638664429244749+0j
0.0006440114774558612+0j 0.603990201647549+0j
0.21405675514620415+0j 0.7599575375943712+0j
0.20272797518662178+0j 0.6777005213995436+0j
0.19139919522703977+0j 0.5954435052047157+0j
0.18007041526745807+0j 0.5131864890098878+0j
0.1687416353078767+0j 0.4309294728150605+0j
0.15741285534829574+0j 0.34867245662023255+0j
0.14608407538871507+0j 0.2664154404254046+0j
0.134631747773127+0j 0.352402689120716+0j
0.1255220493039387+0j 0.34104925040284856+0j
0.11641235083475014+0j 0.32969581168498113+0j
0.10730265236556137+0j 0.31834237296711376+0j
0.09819295389637234+0j 0.30698893424924634+0j
0.08908325542718311+0j 0.2956354955313789+0j
0.07997355695799364+0j 0.2842820568135115+0j
0.07086385848880399+0j 0.2729286180956441+0j
0.07004953650886155+0j 0.26679977994291815+0j
0.05698394450166128+0j 0.24514761501600385+0j
0.02109044536717023+0j 0.25118369438969906+0j
0.019005924437779195+0j 0.24660567970180938+0j
