-0.2499999720603232 -0.024999979883431944
0.017241377383470625 -0.029310345521260966
30 30
0.06422019800339052+0j -1.0322496717914953+0j
0.07666455013010472+0j -1.104939476589677+0j
0.08907476357948939+0j -1.177629281387859+0j
0.1014508383515447+0j -1.2503190861860407+0j
0.28074299484454024+0j 0.5442051329866066+0j
0.26591147507590013+0j 0.5076836867887534+0j
0.25113082391202984+0j 0.4711622405909004+0j
0.23640104135292894+0j 0.43464079439304726+0j
0.2217221273985978+0j 0.39811934819519423+0j
0.20709408204903618+0j 0.3615979019973411+0j
0.19251690530424428+0j 0.32507645579948796+0j
0.177990597164222+0j 0.288555009601635+0j
0.16351515762896934+0j 0.25203356340378186+0j
0.1490905866984862+0j 0.21551211720592864+0j
0.13471688437277277+0j 0.17899067100807547+0j
0.12039405065182895+0j 0.14246922481022253+0j
0.1061220855356548+0j 0.1059477786123694+0j
0.09190098902425024+0j 0.06942633241451647+0j
0.08786663441938321+0j 0.10868474041348479+0j
0.07970290799151364+0j 0.10893136631148094+0j
0.07155682850904115+0j 0.10917799220947712+0j
0.06342839597196594+0j 0.10942461810747328+0j
0.05531761038028787+0j 0.10967124400546947+0j
0.04722447173400695+0j 0.10991786990346568+0j
0.03914898003312329+0j 0.11016449580146184+0j
0.03109113527763676+0j 0.11041112169945803+0j
0.02305093746754742+0j 0.11065774759745421+0j
0.015028386602855314+0j 0.1109043734954504+0j
0.007023482683560346+0j 0.11115099939344658+0j
0.0037762425378841578+0j 0.10780287748095048+0j
0.06440610323758132+0j -1.0407516950515296+0j
0.07688678168015621+0j -1.1134515406358012+0j
0.0893333214454016+0j -1.1861513862200732+0j
0.10174572253331758+0j -1.258851231804345+0j
0.0007913272428794909+0j 0.38054720669315617+0j
0.2607748933015328+0j 0.5153745227545491+0j
0.24601354216752164+0j 0.47886803790901394+0j
0.23130305963828002+0j 0.4423615530634788+0j
0.21664344571380806+0j 0.4058550682179435+0j
0.2020347003941056+0j 0.3693485833724082+0j
0.18747682367917284+0j 0.33284209852687296+0j
0.17296981556900978+0j 0.29633561368133776+0j
0.15851367606361627+0j 0.25982912883580256+0j
0.14410840516299234+0j 0.22332264399026722+0j
0.12975400286713804+0j 0.1868161591447319+0j
0.11545046917605346+0j 0.15030967429919678+0j
0.1011978040897385+0j 0.11380318945366158+0j
0.08699600760819312+0j 0.07729670460812639+0j
0.0824330192351803+0j 0.11302901232017935+0j
0.0742829962716554+0j 0.1132808284955306+0j
0.06615062025352758+0j 0.1135326446708819+0j
0.05803589118079702+0j 0.11378446084623316+0j
0.04993880905346367+0j 0.11403627702158445+0j
0.041859373871527404+0j 0.11428809319693574+0j
0.03379758563498841+0j 0.11453990937228702+0j
0.02575344434384655+0j 0.1147917255476383+0j
0.017726949998101874+0j 0.11504354172298958+0j
0.009718102597754423+0j 0.11529535789834086+0j
0.004443955622070638+0j 0.11344095448740595+0j
0.0037146139065205334+0j 0.10791423959756696+0j
0.06459200847177214+0j -1.0492109814751625+0j
0.07710901323020772+0j -1.1219208678455244+0j
0.08959187931131381+0j -1.1946307542158865+0j
-0.0034941917936594687+0j -0.9856980143971253+0j
0.0008057138545603681+0j 0.3787168068701579+0j
0.0025275159251567578+0j 0.3649919306801425+0j
0.2408962604230135+0j 0.4865965411415339+0j
0.22620507792363104+0j 0.4501050176483165+0j
0.21156476402901822+0j 0.41361349415509924+0j
0.196975318739175+0j 0.37712197066188186+0j
