-82.57800044142137 -70.51300044142135 -30.000000441421356
5.695034513201475 4.862965547684231 6.168000030442851
30 30 30
3.3863354029704768e-15+8.913756580116848e-15j -2.304083368995966e-14-2.766851250482927e-14j 2.685898959102966e-14+1.3700021571391611e-14j
1.5951086013700738e-14+2.7836912237194216e-14j -1.6847803673816072e-14-3.414515508787555e-15j -4.307545357350713e-22+1.1372032513851727e-21j
-2.161428223353313e-14+2.4968373422430663e-14j -1.5392820283095564e-14+1.8867701034780082e-14j -4.307545357350713e-22+1.1372032513851727e-21j
-5.917965048076706e-14+2.2099834607667157e-14j -1.3937836892375126e-14+4.1149917578347746e-14j -4.307545357350713e-22+1.1372032513851727e-21j
-1.1051801920053243e-12-1.2687441344954046e-12j -1.8429891691943246e-12+1.1237514563100495e-12j -1.3704008485347447e-20+7.628187270532963e-21j
-1.5416731090566327e-12-1.6383970510827975e-12j -1.6182864711177505e-12+1.2275670999960365e-12j -1.3704008485347447e-20+7.628187270532963e-21j
-1.9781660261079373e-12-2.00804996767019e-12j -1.3935837730411785e-12+1.3313827436820229e-12j -1.3704008485347447e-20+7.628187270532963e-21j
-7.33850332732431e-14-1.240565902920486e-12j 2.2494338267574985e-12+1.4276456529067498e-12j 1.0156749213031456e-20+2.215143934380396e-21j
-2.0823081748406187e-12-5.46734648287844e-13j 2.647972313793254e-12+6.886289952422599e-13j 1.0156749213031456e-20+2.215143934380396e-21j
-4.091231316407994e-12+1.470966063447986e-13j 3.0465108008290092e-12-5.038766242222994e-14j 1.0156749213031456e-20+2.215143934380396e-21j
-1.9647987037994852e-12+4.545882050898069e-12j 1.7380565029474984e-13-1.7740397261085743e-12j -8.686380641268298e-21-9.181690046270602e-21j
2.502136258625344e-13+3.1850728916301398e-12j -4.915541839820249e-13-1.5371516977074844e-12j -8.686380641268298e-21-9.181690046270602e-21j
2.465225955524561e-12+1.8242637323621965e-12j -1.1569140182587955e-12-1.300263669306393e-12j -8.686380641268298e-21-9.181690046270602e-21j
5.4753260703222797e-14-3.135303827546825e-12j -6.990215814543871e-13-1.4111591083896758e-12j -3.1876455613054485e-21+9.722344969374279e-21j
-3.341107459049127e-13-2.4845798174590154e-12j -3.962605121203705e-13-1.138657250309881e-12j -3.1876455613054485e-21+9.722344969374279e-21j
-7.229747525130472e-13-1.833855807371203e-12j -9.34994427863542e-14-8.661553922300852e-13j -3.1876455613054485e-21+9.722344969374279e-21j
-1.1118387591211836e-12-1.1831317972833964e-12j 2.0926162654766236e-13-5.936535341502917e-13j -3.1876455613054485e-21+9.722344969374279e-21j
-1.431420294946747e-12+2.477472810989785e-12j 4.185273493802489e-13+1.3626724161717203e-12j 7.68167446308624e-21+2.6538250533314013e-21j
-1.4210721079220518e-12+1.6161937497299428e-12j 7.625324680644619e-13+1.3555300639669477e-12j 7.68167446308624e-21+2.6538250533314013e-21j
-1.410723920897359e-12+7.549146884701063e-13j 1.1065375867486745e-12+1.3483877117621763e-12j 7.68167446308624e-21+2.6538250533314013e-21j
8.302056812012861e-13-1.7286587632006766e-12j 1.0222871377686994e-12+3.4438481898419187e-13j -4.625648567812371e-21-1.2840924348222788e-20j
1.0406181415747171e-12-1.0336154491104846e-12j 4.355636471234776e-13-2.487494851286249e-13j -4.625648567812371e-21-1.2840924348222788e-20j
1.2510306019481456e-12-3.3857213502029353e-13j -1.5115984352174202e-13-8.418837892414402e-13j -4.625648567812371e-21-1.2840924348222788e-20j
8.887305309271406e-13+2.4622673103953304e-12j -1.5410031779370732e-12-2.170226140491615e-12j -3.136790569894047e-21+1.9028233320802493e-20j
5.11044312996499e-13+1.1761334135813308e-12j -1.3489660701841333e-12-1.3146803235441653e-12j -3.136790569894047e-21+1.9028233320802493e-20j
1.333580950658567e-13-1.100004832326655e-13j -1.1569289624311932e-12-4.591345065967163e-13j -3.136790569894047e-21+1.9028233320802493e-20j
-1.7532509824350778e-14+8.117595769795717e-14j 3.05434775869072e-14+5.944280441259893e-17j -2.5531030705390017e-23-1.292623158837075e-21j
-1.2105299459000295e-14+4.569529550848074e-14j 2.1755096447522476e-14+3.861212433335e-15j -2.5531030705390017e-23-1.292623158837075e-21j
-6.678089093649793e-15+1.0214633319004049e-14j 1.2966715308137714e-14+7.662982062257461e-15j -2.5531030705390017e-23-1.292623158837075e-21j
-1.2508787282993137e-15-2.5266028870472363e-14j 4.17833416875299e-15+1.1464751691179867e-14j -2.5531030705390017e-23-1.292623158837075e-21j
