-8.5 -15.486139368992099
0.5862068965517241 1.3103448275862069
30 30
1.0204394929455665e-05+0j 3.120060150378593e-07+0j
2.1838643387183137e-05+0j 1.0996616452772717e-07+0j
3.400237559107509e-05+0j -9.20736859824046e-08+0j
4.227747790818994e-05+0j -3.5705100707145366e-05+0j
1.5042794132662332e-05+0j -7.805924090333826e-05+0j
-7.415840155003562e-05+0j -7.78540167274173e-05+0j
-0.00046253525945355676+0j -0.0006345822614173369+0j
-0.0007766163596960971+0j -0.0014443228055156928+0j
-0.002718723314874546+0j -0.0014198218771927754+0j
-0.004725039599450989+0j -0.0013953209488698575+0j
-0.030221761163460436+0j 0.044898396423960096+0j
-0.0073124023783206985+0j 0.0005973362796383488+0j
-0.006758091696547366+0j 0.0004992530576147694+0j
-0.005946735329470857+0j 0.0004011698355911897+0j
-0.03137483760192597+0j 0.03908840749382526+0j
-0.0033760093134164865+0j 0.001169987861013097+0j
-0.0017318323384553538+0j 0.0011887059411244648+0j
-0.00013670964240677043+0j 0.0012074240212358322+0j
-0.00011742183680064634+0j 0.0003350420596921828+0j
3.460223457258521e-05+0j 3.1520050147044e-05+0j
5.851091657549964e-05+0j 3.0863281337674564e-05+0j
8.414078580296848e-05+0j 3.020651252830513e-05+0j
5.9153490691123416e-05+0j 2.9232928240872412e-05+0j
6.134609191156417e-05+0j -3.3919970112157784e-06+0j
4.82336846478546e-05+0j -3.838273088541868e-06+0j
3.6290828483344455e-05+0j -4.284549165867955e-06+0j
2.6539741916736632e-05+0j -2.4827366973741412e-06+0j
1.8902407019749444e-05+0j -2.680548890927258e-06+0j
1.1552974129712011e-05+0j -2.805200652124893e-06+0j
4.5302148207442415e-06+0j -2.929852413322528e-06+0j
1.1231451197633332e-05+0j 9.108666090366156e-07+0j
2.2710994037197937e-05+0j 1.9291526546074086e-07+0j
3.485945505147725e-05+0j -1.2756173879670955e-07+0j
5.881359820073691e-05+0j -1.828656920526612e-05+0j
0.00011005818067844528+0j -0.0001247251442803648+0j
2.1606277273053675e-05+0j -0.00012439961627717984+0j
-0.00024059290849057588+0j -0.000573773854342642+0j
0.00012591736898042338+0j -0.0023042123576991753+0j
-0.00180527073001882+0j -0.002265348816221444+0j
-0.03008630902922242+0j -0.03693029231553861+0j
-0.0007482113868471432+0j 0.03366460464850222+0j
-0.025732133967433134+0j 0.027488386348663546+0j
-0.001656005332135284+0j 0.0007862162067601076+0j
-0.01389587852566899+0j -0.024582683669938918+0j
-0.006462380371634344+0j 0.026062247157218502+0j
-0.0024642767602232347+0j 0.0018678941462743834+0j
-0.0008300552336455188+0j 0.0018975848940372421+0j
0.0007551120140196488+0j 0.001927275641800101+0j
-2.1269331543343997e-05+0j 0.0003155450374905678+0j
7.83903956838639e-05+0j 5.04333451561298e-05+0j
0.0001019388837549777+0j 4.9391573941267934e-05+0j
0.0001272085590506458+0j 4.834980272640607e-05+0j
6.608831803689602e-05+0j 1.848971315410266e-05+0j
6.07226921584134e-05+0j -5.444579079181222e-06+0j
4.7663294916932103e-05+0j -6.152465270801915e-06+0j
3.577344877465023e-05+0j -6.860351462422607e-06+0j
2.6445921882588437e-05+0j -4.4755119116592376e-06+0j
1.8579657830603734e-05+0j -4.2886458847508844e-06+0j
1.1260575992781166e-05+0j -4.486369368029891e-06+0j
4.730931980489956e-06+0j -4.100121270699259e-06+0j
1.1214455545217672e-05+0j 2.5828939405971734e-06+0j
2.3583344687212754e-05+0j 2.8952806236296456e-07+0j
2.2619476951660466e-05+0j -2.9150768597294442e-05+0j
7.534971849328382e-05+0j -9.290777599243605e-07+0j
0.00020507356722422812+0j -0.00017206146706340232+0j
0.0001173709560961429+0j -0.0001716156352329533+0j
-1.865055752759527e-05+0j -0.000515496166334219+0j
0.0010284510976569428+0j -0.003173871412779842+0j
-0.0008918181451630951+0j -0.0031206452581472965+0j
-0.0007186289706233798+0j -0.021336132384972645+0j
0.02872533838976614+0j 0.022304358497708874+0j
0.0038827471698491462+0j 0.016248031190739583+0j
0.0034460810322767973+0j 0.0010689645116445546+0j
0.011127322293476473+0j -0.015166260400065155+0j
0.018450076858657294+0j 0.013114705240925097+0j
-0.010938152453567102+0j 0.020914448394069973+0j
7.17218711643167e-05+0j 0.0026153713533983397+0j
0.00014251080525334446+0j 0.00044251264575632026+0j
7.488317371395845e-05+0j 0.0002974592799189585+0j
0.00012217855679514267+0j 6.966891894630048e-05+0j
0.0001453668509344558+0j 6.824214532594618e-05+0j
0.00010967854991894263+0j -9.731873872818001e-06+0j
7.30231453826687e-05+0j 7.736471919770165e-06+0j
6.0099292405262596e-05+0j -7.5445911670351345e-06+0j
4.709290518600959e-05+0j -8.514087472950434e-06+0j
3.579545265649937e-05+0j -8.404951925210135e-06+0j
2.635210184844027e-05+0j -6.4995116680827625e-06+0j
1.825690864145802e-05+0j -5.9238990831878155e-06+0j
1.0968177855850328e-05+0j -6.194694288548194e-06+0j
4.705421843061965e-06+0j -5.526814613927096e-06+0j
1.1197459892802009e-05+0j 4.2748472094726424e-06+0j
2.6170740142075302e-05+0j -8.827675954961917e-07+0j
3.908737600454784e-05+0j -1.1472227902874693e-05+0j
9.188583878583071e-05+0j 1.6367373628879942e-05+0j
0.00014639246552162973+0j 4.42069751606345e-05+0j
0.0002131356349192321+0j -0.00021950207359473775+0j
0.00020329179343538565+0j -0.00045974919739206745+0j
0.00035873178462030226+0j -0.00047841497929975194+0j
-0.006360688056759898+0j -0.015557203888786507+0j
0.028649051087975497+0j -0.005833216832219308+0j
0.05819888816637937+0j 0.010817657971580146+0j
0.033497628307131384+0j 0.004881221657480195+0j
0.01525855971407228+0j 0.0006346676839501034+0j
0.03615052311262193+0j -0.0056433941596149015+0j
0.04336253408894901+0j 0.00024578174494499966+0j
0.013886437130491971+0j 0.00795409235360655+0j
0.0009734989759741522+0j 0.003342065319207756+0j
0.00024024060627359425+0j 0.0004272060579816091+0j
0.00017103567897126082+0j 0.0002807847869773548+0j
0.00016596671790642143+0j 8.922677151755601e-05+0j
0.00018879481811393383+0j 8.741499549170929e-05+0j
0.00011660217157038039+0j -1.9999353788178698e-05+0j
7.995797272844131e-05+0j -3.0267954621250257e-06+0j
5.9475892652111824e-05+0j -9.692033274777503e-06+0j
4.652251545508711e-05+0j -1.0923139694987405e-05+0j
3.566673460466706e-05+0j -1.0315432554366256e-05+0j
2.6258281814292078e-05+0j -8.554735966644684e-06+0j
1.7934159452312314e-05+0j -7.5863084862380546e-06+0j
1.0952512934629085e-05+0j -7.594423491449453e-06+0j
4.679911705633974e-06+0j -6.983416394139476e-06+0j
1.1180464240386348e-05+0j 5.986726415663028e-06+0j
2.6131474324425326e-05+0j 7.528027727417442e-07+0j
4.414560813700754e-05+0j 6.994398489581351e-07+0j
0.00010842195907837761+0j 3.3602784961146784e-05+0j
0.00016299680705383608+0j 6.10602971872859e-05+0j
0.00027205385759848584+0j -0.0003867290256505455+0j
0.0004252341443983665+0j -0.0004065329475161875+0j
0.0005835025863044099+0j -0.00042633686938182985+0j
0.022905012991342698+0j -3.728736535807133e-05+0j
0.058016731146574484+0j 0.00957845434272154+0j
0.08767243794299268+0j -0.0007954969298840269+0j
0.06311250944441366+0j -0.0066120422511146085+0j
0.01923606038406855+0j -0.010519750790550259+0j
