-20.5 -8
1.4137931034482758 0.5517241379310345
30 30
-0.0008398715427013742+0j 0.002253059580924822+0j
-0.0007819493640344106+0j 0.0022530595806124357+0j
-0.0007240271850227464+0j 0.0022530595803000493+0j
-0.0006661050056663799+0j 0.002253059579987663+0j
-0.0006081828259653129+0j 0.0022530595796752765+0j
-0.0005502606459195403+0j 0.00225305957936289+0j
-0.0004923384655290689+0j 0.0022530595790505037+0j
-0.0004344162847938926+0j 0.002253059578738117+0j
-0.0003764941037140158+0j 0.0022530595784257305+0j
-0.000318571922289435+0j 0.002253059578113344+0j
-0.00026064974052015285+0j 0.002253059577800958+0j
-0.00020272755840616843+0j 0.0022530595774885717+0j
-0.0001448053759474809+0j 0.0022530595771761853+0j
-8.688319314409374e-05+0j 0.002253059576863799+0j
-2.8961009996002625e-05+0j 0.0022530595765514125+0j
2.8961173496790783e-05+0j 0.0022530595762390256+0j
8.688335733428475e-05+0j 0.0022530595759266392+0j
0.0001448055415164826+0j 0.002253059575614253+0j
0.0002027277260433832+0j 0.0022530595753018664+0j
0.00026064991091498467+0j 0.0022530595749894805+0j
0.0003185720961312894+0j 0.002253059574677094+0j
0.0003764942816922975+0j 0.0022530595743647077+0j
0.00043441646759800553+0j 0.0022530595740523213+0j
0.000492338653848418+0j 0.0022530595737399344+0j
0.0005502608404435294+0j 0.002253059573427548+0j
0.0006081830273833453+0j 0.0022530595731151616+0j
0.0006661052146678649+0j 0.0022530595728027752+0j
0.0007240274022970858+0j 0.002253059572490389+0j
0.0007819495902710072+0j 0.0022530595721780024+0j
0.0008398717785896288+0j 0.0022530595718656165+0j
-0.0014674042972593595+0j 0.004207300004449795+0j
-0.0022735851750695832+0j 0.006116211039148698+0j
-0.0030773329911258558+0j 0.008025122073847596+0j
-0.0007272638692371966+0j 0.005415152729921602+0j
-0.0006640235304708286+0j 0.005415152729167566+0j
-0.0006007831913597575+0j 0.00541515272841353+0j
-0.0005375428519039851+0j 0.005415152727659494+0j
-0.00047430251210350946+0j 0.005415152726905457+0j
-0.00041106217195833344+0j 0.0054151527261514214+0j
-0.00034782183146845166+0j 0.005415152725397386+0j
-0.00028458149063387197+0j 0.005415152724643349+0j
-0.00022134114945458617+0j 0.0054151527238893125+0j
-0.00015810080793060024+0j 0.005415152723135276+0j
-9.486046606191155e-05+0j 0.005415152722381241+0j
