-21.5 -9
1.4827586206896552 0.6206896551724138
30 30
0.0002955956918918709+0j 0.0033049173101604955+0j
0.00027093812170566115+0j 0.0033047101669199225+0j
0.000246537694852573+0j 0.0033045030236793496+0j
0.00022239441133261334+0j 0.0033042958804387766+0j
0.0001985082711457771+0j 0.0033040887371982037+0j
0.00017487927429206754+0j 0.0033038815939576307+0j
0.00015150742077148135+0j 0.003303674450717058+0j
0.00012839271058402105+0j 0.003303467307476485+0j
0.00010553514372968489+0j 0.003303260164235912+0j
8.29347202084747e-05+0j 0.003303053020995339+0j
6.059144002038786e-05+0j 0.0033028458777547656+0j
3.850530316542683e-05+0j 0.003302638734514193+0j
1.66763096435918e-05+0j 0.00330243159127362+0j
-4.895540545118648e-06+0j 0.003302224448033047+0j
-2.6210247400704362e-05+0j 0.0033020173047924742+0j
-4.575330619664618e-05+0j 0.003304858085863788+0j
-6.360056017944461e-05+0j 0.003304732403887975+0j
-8.12917951577854e-05+0j 0.003304606721912162+0j
-9.882701113166987e-05+0j 0.003304481039936349+0j
-0.00011620620810109592+0j 0.0033043553579605355+0j
-0.00013342938606606224+0j 0.0033042296759847227+0j
-0.00015049654502657367+0j 0.0033041039940089095+0j
-0.00016740768498262656+0j 0.003303978312033097+0j
-0.0001841628059342229+0j 0.003303852630057284+0j
-0.00020076190788135984+0j 0.0033037269480814704+0j
-0.00021720499082404272+0j 0.0033036012661056577+0j
-0.00023349205476226633+0j 0.0033034755841298445+0j
-0.0002496230996960324+0j 0.0033033499021540317+0j
-0.00026559812562533904+0j 0.0033032242201782185+0j
-0.00028141713255018996+0j 0.0033030985382024054+0j
-0.00022890903024536905+0j 0.008613757136481773+0j
-0.00037585407768982155+0j 0.00865854930670877+0j
-0.0005265244207564371+0j 0.008703341476935762+0j
1.9657460135479596e-06+0j 0.008127915144730248+0j
-2.9569097386787343e-06+0j 0.008127400858063996+0j
-7.622422157778681e-06+0j 0.008126886571397747+0j
-1.2030791243753579e-05+0j 0.008126372284731497+0j
-1.618201699660508e-05+0j 0.008125857998065247+0j
-2.0076099416330842e-05+0j 0.008125343711398997+0j
-2.3713038502932323e-05+0j 0.008124829424732747+0j
-2.7092834256408737e-05+0j 0.008124315138066497+0j
-3.0215486676760193e-05+0j 0.008123800851400246+0j
-3.3080995763986134e-05+0j 0.008123286564733996+0j
-3.5689361518087435e-05+0j 0.008122772278067746+0j
-3.804058393906338e-05+0j 0.008122257991401496+0j
-3.857897019561865e-05+0j 0.008128981460257593+0j
-3.738036353425397e-05+0j 0.008128669422248677+0j
-3.6025737868431796e-05+0j 0.00812835738423976+0j
-3.4515093198151715e-05+0j 0.008128045346230846+0j
-3.28484295234142e-05+0j 0.008127733308221932+0j
-3.102574684421898e-05+0j 0.008127421270213016+0j
-2.904704516056716e-05+0j 0.008127109232204102+0j
-2.6912324472456945e-05+0j 0.008126797194195186+0j
-2.462158477989095e-05+0j 0.008126485156186272+0j
-2.217482608286644e-05+0j 0.008126173118177355+0j
-1.9572048381382676e-05+0j 0.008125861080168441+0j
-1.6813251675443062e-05+0j 0.008125549042159525+0j
0.0005184639842961939+0j 0.00870025264008146+0j
0.0003705460030340509+0j 0.008653344465613885+0j
0.00022595483497304768+0j 0.008606436291146307+0j
-0.00016894712639780785+0j 0.013157380975481374+0j
-0.00027867444041963606+0j 0.013206622804368174+0j
-0.0003921270500636273+0j 0.013255864633254972+0j
-0.0005093049553297837+0j 0.013305106462141775+0j
-0.0006302081562181026+0j 0.013354348291028575+0j
-0.00019012411860762287+0j 0.012859288234316944+0j
-0.0001755690032589901+0j 0.012858466804225017+0j
-0.00016075674457723024+0j 0.01285764537413309+0j
-0.00014568734256234723+0j 0.012856823944041161+0j
-0.00013036079721433924+0j 0.012856002513949236+0j
-0.00011477710853320604+0j 0.012855181083857307+0j
-9.893627651894803e-05+0j 0.012854359653765381+0j
-8.283830117156438e-05+0j 0.012853538223673452+0j
-6.648318249105594e-05+0j 0.012852716793581527+0j
-4.987092047742231e-05+0j 0.012851895363489598+0j
-3.1404634194591183e-05+0j 0.01286210794490706+0j
-1.1160166889063748e-05+0j 0.012861609550865044+0j
9.240319420921824e-06+0j 0.012861111156823027+0j
2.979682473536508e-05+0j 0.012860612762781009+0j
5.050934905426577e-05+0j 0.012860114368738993+0j
7.137789237762431e-05+0j 0.012859615974696975+0j
9.240245470543922e-05+0j 0.012859117580654958+0j
0.00011358303603771261+0j 0.01285861918661294+0j
0.0001349196363744428+0j 0.012858120792570924+0j
0.00015641225571563045+0j 0.012857622398528905+0j
0.0006137293440374621+0j 0.013363444414466602+0j
0.0004966816845211181+0j 0.013312562546453221+0j
0.00038296083820591424+0j 0.01326168067843984+0j
0.0002725668050918488+0j 0.013210798810426461+0j
0.000165499585178923+0j 0.013159916942413075+0j
-0.00010898522255024681+0j 0.017523186754795094+0j
-0.000181494803149451+0j 0.0175768782423417+0j
-0.00025772967937081817+0j 0.01763056972988831+0j
-0.00033768985121435027+0j 0.01768426121743491+0j
-0.00042137531868004517+0j 0.017737952704981522+0j
-0.0005087860817679053+0j 0.017791644192528128+0j
-0.0005999221404779275+0j 0.017845335680074733+0j
-0.0006947834948101145+0j 0.017899027167621342+0j
-0.00027129858570836365+0j 0.017497700862162416+0j
-0.0002370085559257461+0j 0.01749657228864481+0j
-0.0002024613828100034+0j 0.017495443715127207+0j
-0.00016765706636113538+0j 0.017494315141609606+0j
-0.00013259560657914265+0j 0.017493186568091998+0j
-9.727700346402423e-05+0j 0.017492057994574397+0j
-6.17012570157813e-05+0j 0.01749092942105679+0j
-2.423029819356375e-05+0j 0.0175042375398122+0j
1.506002975612738e-05+0j 0.017503552789737083+0j
5.450637671027595e-05+0j 0.017502868039661963+0j
9.410874266888201e-05+0j 0.017502183289586845+0j
0.00013386712763194597+0j 0.017501498539511724+0j
0.00017378153159946776+0j 0.017500813789436607+0j
