-8.5 -19
0.5862068965517241 1.3103448275862069
30 30
-0.003604964119966951+0j 0.0002756465574663105+0j
-0.007482868864520844+0j 0.00021997110704723746+0j
-0.011214865532114418+0j 0.0001642956566281644+0j
-0.014800954122747657+0j 0.00010862020620909124+0j
-0.01824113463642057+0j 5.2944755790018094e-05+0j
-0.021535407073133152+0j -2.7306946290550638e-06+0j
-0.024683771432885408+0j -5.840614504812821e-05+0j
-0.027686227715677334+0j -0.00011408159546720127+0j
-0.030542775921508926+0j -0.00016975704588627442+0j
-0.03325341605038019+0j -0.0002254324963053476+0j
-0.03577904821521916+0j 0.0004664336638073969+0j
-0.03686592086765162+0j 0.00036276295996388446+0j
-0.03768110477897693+0j 0.0002590922561203722+0j
-0.03822459994919511+0j 0.0001554215522768597+0j
-0.03849640637830615+0j 5.1750848433347345e-05+0j
-0.03849652406631006+0j -5.191985541016498e-05+0j
-0.03822495301320683+0j -0.00015559055925367732+0j
-0.037681693218996455+0j -0.00025926126309718965+0j
-0.03686674468367895+0j -0.0003629319669407022+0j
-0.03578010740725432+0j -0.0004666026707842144+0j
-0.03325584827226935+0j 0.00022546439463056172+0j
-0.030544949921332356+0j 0.00016979371693562123+0j
-0.02768815600126379+0j 0.00011412303924068072+0j
-0.024685466512063648+0j 5.845236154574014e-05+0j
-0.02153688145373196+0j 2.781683850799731e-06+0j
-0.018242400826268698+0j -5.288899384414063e-05+0j
-0.014802024629673843+0j -0.00010855967153908145+0j
-0.011215752863947435+0j -0.00016423034923402185+0j
-0.007483585529089459+0j -0.00021990102692896242+0j
-0.0036055226250999222+0j -0.0002755717046239029+0j
-0.0030811237925867916+0j -0.00023552568975481264+0j
-0.0075174526411776665+0j 0.0003526103293915627+0j
-0.011252498100278683+0j 0.0002642975459682053+0j
-0.014841635482419372+0j 0.00017598476254484792+0j
-0.01828486478759973+0j 8.76719791214905e-05+0j
-0.021582186015819755+0j -6.408043018668418e-07+0j
-0.024733599167079453+0j -8.895358772522421e-05+0j
-0.02773910424137882+0j -0.00017726637114858163+0j
-0.030598701238717857+0j -0.000265579154571939+0j
-0.03345660161368125+0j -0.0007587138955604668+0j
-0.03536793935665593+0j -9.615365706827812e-06+0j
-0.03696162036262303+0j 0.0005754178646731537+0j
-0.03777680489827589+0j 0.0004109746792662031+0j
-0.038320300692821614+0j 0.000246531493859252+0j
-0.038592107746260186+0j 8.208830845230147e-05+0j
-0.038592226058591646+0j -8.235487695464916e-05+0j
-0.038320655629815965+0j -0.0002467980623615998+0j
-0.03777739645993314+0j -0.0004112412477685506+0j
-0.036962448548943184+0j -0.0005756844331755018+0j
-0.035369322646446086+0j 8.175267386347515e-06+0j
-0.033458351841465714+0j 0.000754384700733256+0j
-0.030601335543200502+0j 0.00026559730941359686+0j
-0.02774145977738255+0j 0.000177292096518174+0j
-0.024735688442433026+0j 8.898688362275097e-05+0j
-0.02158402153835194+0j 6.816707273282405e-07+0j
-0.018286459065139295+0j -8.762354216809426e-05+0j
-0.014843001022795049+0j -0.0001759287550635176+0j
-0.011253647411319265+0j -0.0002642339679589403+0j
-0.007518398230711897+0j -0.00035253918085436324+0j
-0.0030814800316140587+0j 0.00023231351724416744+0j
-0.0030811430867505626+0j -0.00021823744992236025+0j
-0.0075520364178344995+0j 0.00048797741782149643+0j
-0.01129013066844296+0j 0.0003670273013938547+0j
-0.014882316842091091+0j 0.00024607718496621306+0j
-0.01832859493877889+0j 0.0001251270685385714+0j
-0.02162896495850637+0j 4.176952110929752e-06+0j
-0.024783426901273508+0j -0.00011677316431671196+0j
-0.027791980767080313+0j -0.00023772328074435353+0j
-0.0306546265559268+0j -0.00035867339717199516+0j
-0.0333900844535032+0j -0.0006963294471433498+0j
-0.035300281296631764+0j -2.618787545471756e-06+0j
-0.03705731985759444+0j 0.0007880733279912799+0j
-0.03787250501757484+0j 0.0005628576610208907+0j
-0.038416001436448105+0j 0.0003376419940505016+0j
-0.038687809114214246+0j 0.00011242632708011265+0j
-0.03868792805087324+0j -0.00011278933989027632+0j
-0.038416358246425086+0j -0.00033800500686066514+0j
-0.03787309970086982+0j -0.0005632206738310542+0j
-0.03705815241420741+0j -0.0007884363408014436+0j
-0.03530109538956687+0j 1.0443985665388076e-06+0j
-0.03339127425437997+0j 0.0006918773872171583+0j
-0.030657721165068656+0j 0.0003586434609579097+0j
-0.027794763553501307+0j 0.00023770371286200453+0j
-0.02478591037280239+0j 0.00011676396476609905+0j
-0.021631161622971927+0j -4.175783329805758e-06+0j
-0.018330517304009895+0j -0.00012511553142571054+0j
-0.014883977415916261+0j -0.00024605527952161626+0j
-0.011291541958691085+0j -0.00036699502761752134+0j
-0.007553210932334331+0j -0.00048793477571342674+0j
-0.0030814991055421745+0j 0.00021522844045237277+0j
-0.003081162380914334+0j -0.0002009265893461745+0j
-0.007047985000098778+0j 6.069087598918908e-06+0j
-0.011327763236607231+0j 0.0004724849229051117+0j
-0.014922998201762804+0j 0.00031889747347318574+0j
-0.018372325089958053+0j 0.00016531002404125984+0j
-0.021675743901192968+0j 1.1722574609333999e-05+0j
-0.024833254635467553+0j -0.00014186487482259187+0j
-0.027844857292781813+0j -0.0002954523242545177+0j
-0.030710551873135733+0j -0.0004490397736864436+0j
-0.03332356729332518+0j -0.0006349658038517188+0j
-0.035232623236607606+0j 3.3569854904011572e-06+0j
-0.037153019352565854+0j 0.0010007293499182616+0j
-0.0379682051368738+0j 0.0007147412013844343+0j
-0.03851170218007462+0j 0.00042875305285060647+0j
-0.0387835104821683+0j 0.00014276490431677926+0j
-0.03878363004315483+0j -0.00014322324421704797+0j
-0.03851206086303424+0j -0.0004292113927508755+0j
-0.037968802941806504+0j -0.0007151995412847027+0j
-0.03715385627947164+0j -0.0010011876898185306+0j
-0.03523286813268765+0j -5.057818332781898e-06+0j
-0.03332419666729423+0j 0.0006303987256215436+0j
-0.03071410678693679+0j 0.00044893217156856185+0j
-0.027848067329620065+0j 0.00029535788827217424+0j
-0.024836132303171762+0j 0.00014178360497578646+0j
-0.021678301707591906+0j -1.1790678320600746e-05+0j
-0.018374575542880488+0j -0.0001653649616169878+0j
-0.014924953809037472+0j -0.0003189392449133761+0j
-0.011329436506062909+0j -0.00047251352820976345+0j
-0.007048805967501414+0j -6.671703851593306e-06+0j
-0.00308151817947029+0j 0.00019812100112416152+0j
-0.0030811816750781046+0j -0.00018359310802625728+0j
-0.007048029576270249+0j 5.498633348721173e-06+0j
-0.011365395804771507+0j 0.0005806704105019768+0j
-0.014963679561434524+0j 0.0003944456280657667+0j
-0.018416055241137215+0j 0.00020822084562955643+0j
-0.021722522843879575+0j 2.1996063193346237e-05+0j
-0.024883082369661604+0j -0.00016422871924286393+0j
-0.027897733818483303+0j -0.00035045350167907396+0j
-0.030766477190344674+0j -0.0005366782841152841+0j
-0.033257050133147156+0j -0.0005746229656855718+0j
-0.035164965176583476+0j 8.311953400792134e-06+0j
-0.03682526385887638+0j 0.00059124687248716+0j
-0.03806390525617275+0j 0.0008666253003568344+0j
-0.03860740292370112+0j 0.0005198646702595684+0j
-0.03887921185012233+0j 0.00017310404016230278+0j
-0.03887933203543642+0j -0.00017365658993496278+0j
-0.03860776347964337+0j -0.0005204172200322283+0j
-0.03806450618274319+0j -0.0008671778501294939+0j
