-9 -21.5
0.6206896551724138 1.4827586206896552
30 30
-0.00262885072290298+0j -0.00021858875616832205+0j
-0.006836978600358845+0j 0.00018038101562036312+0j
-0.010456850091747686+0j 0.0001331911881714778+0j
-0.013936779336219141+0j 8.600136072259266e-05+0j
-0.017276766333773216+0j 3.881153327370734e-05+0j
-0.0204768110844099+0j -8.378294175177971e-06+0j
-0.023536913588129198+0j -5.556812162406318e-05+0j
-0.026457073844931123+0j -0.00010275794907294849+0j
-0.02923729185481566+0j -0.00014994777652183375+0j
-0.0318775676177828+0j -0.00019713760397071893+0j
-0.03429184203958939+0j 0.00040003211721020805+0j
-0.035346332831315934+0j 0.0003111360911634927+0j
-0.03613720092511086+0j 0.00022224006511677738+0j
-0.03666444632097413+0j 0.00013334403907006205+0j
-0.036928069018905774+0j 4.4448013023346384e-05+0j
-0.036928069018905774+0j -4.4448013023369e-05+0j
-0.036664446320974126+0j -0.00013334403907008433+0j
-0.03613720092511085+0j -0.00022224006511679944+0j
-0.035346332831315934+0j -0.000311136091163515+0j
-0.034291842039589376+0j -0.0004000321172102303+0j
-0.03187756761778273+0j 0.00019713760397073639+0j
-0.029237291854815585+0j 0.0001499477765218521+0j
-0.026457073844931053+0j 0.00010275794907296776+0j
-0.02353691358812913+0j 5.556812162408328e-05+0j
-0.02047681108440983+0j 8.378294175198964e-06+0j
-0.017276766333773175+0j -3.881153327368529e-05+0j
-0.013936779336219103+0j -8.600136072256986e-05+0j
-0.010456850091747655+0j -0.0001331911881714543+0j
-0.0068369786003588204+0j -0.00018038101562033886+0j
-0.0026288507229029613+0j 0.00021858875616835203+0j
-0.002628865025970462+0j -0.00020363351937734283+0j
-0.0068723806907093135+0j 0.00029581365916663205+0j
-0.010495428704777567+0j 0.00021933359399085238+0j
-0.01397853447192843+0j 0.00014285352881507303+0j
-0.017321697992161912+0j 6.637346363929335e-05+0j
-0.020524919265478017+0j -1.0106601536486273e-05+0j
-0.02358819829187672+0j -8.658666671226579e-05+0j
-0.02651153507135805+0j -0.00016306673188804546+0j
-0.029294929603921993+0j -0.00023954679706382498+0j
-0.03207753550330751+0j -0.0006417004291843472+0j
-0.03393744445529084+0j 3.1674621687272905e-05+0j
-0.035439950580491514+0j 0.0005042550442994552+0j
-0.03623081867428642+0j 0.00036018217449960613+0j
-0.0367580640701497+0j 0.0002161093046997569+0j
-0.03702168676808133+0j 7.203643489990737e-05+0j
-0.03702168676808135+0j -7.203643489994176e-05+0j
-0.03675806407014971+0j -0.00021610930469979074+0j
-0.03623081867428643+0j -0.00036018217449963947+0j
-0.03543995058049151+0j -0.0005042550442994891+0j
-0.03393744445529078+0j -3.167462168722154e-05+0j
-0.03207753550330747+0j 0.0006417004291844021+0j
-0.029294929603921927+0j 0.0002395467970638538+0j
-0.02651153507135799+0j 0.00016306673188807568+0j
-0.02358819829187665+0j 8.658666671229732e-05+0j
-0.02052491926547795+0j 1.010660153651945e-05+0j
-0.01732169799216187+0j -6.637346363925849e-05+0j
-0.01397853447192839+0j -0.00014285352881503687+0j
-0.010495428704777538+0j -0.00021933359399081505+0j
-0.0068723806907092875+0j -0.00029581365916659346+0j
-0.002628865025970444+0j 0.0002036335193773761+0j
-0.002628879329037944+0j -0.00018866052705431865+0j
-0.006907782781059777+0j 0.0004139057170491513+0j
-0.010534007317807442+0j 0.0003081354141464773+0j
-0.014020289607637714+0j 0.00020236511124380364+0j
-0.01736662965055061+0j 9.659480834112967e-05+0j
-0.020573027446546117+0j -9.175494561544325e-06+0j
-0.023639482995624236+0j -0.00011494579746421797+0j
-0.02656599629778498+0j -0.00022071610036689197+0j
-0.02935256735302833+0j -0.00032648640326956565+0j
-0.03200759898555075+0j -0.0005874525323008925+0j
-0.03386622471590907+0j 3.604288517283072e-05+0j
-0.03553356832966707+0j 0.0006973739974354165+0j
-0.03632443642346199+0j 0.0004981242838824336+0j
-0.036851681819325265+0j 0.0002988745703294509+0j
-0.037115304517256906+0j 9.962485677646756e-05+0j
-0.03711530451725692+0j -9.962485677651526e-05+0j
-0.03685168181932527+0j -0.00029887457032949785+0j
-0.036324436423461996+0j -0.0004981242838824804+0j
-0.03553356832966708+0j -0.0006973739974354636+0j
-0.03386622471590902+0j -3.6042885172777434e-05+0j
-0.03200759898555071+0j 0.000587452532300951+0j
-0.029352567353028273+0j 0.00032648640326960355+0j
-0.026565996297784916+0j 0.0002207161003669318+0j
-0.023639482995624173+0j 0.0001149457974642597+0j
-0.020573027446546058+0j 9.175494561588127e-06+0j
-0.01736662965055057+0j -9.659480834108334e-05+0j
-0.014020289607637682+0j -0.00020236511124375559+0j
-0.01053400731780741+0j -0.00030813541414642756+0j
-0.006907782781059752+0j -0.0004139057170490996+0j
-0.0026288793290379273+0j 0.0001886605270543506+0j
-0.002628893632105426+0j -0.00017366977919924608+0j
-0.006464950632593943+0j 4.458595052618877e-06+0j
-0.010572585930837321+0j 0.000399596648638353+0j
-0.014062044743347+0j 0.000264536108008785+0j
-0.017411561308939307+0j 0.00012947556737921673+0j
-0.020621135627614223+0j -5.5849732503516e-06+0j
-0.02369076769937175+0j -0.00014064551387991936+0j
-0.026620457524211907+0j -0.0002757060545094877+0j
-0.02941020510213467+0j -0.0004107665951390559+0j
-0.031937662467794+0j -0.0005342789604988285+0j
-0.033795004976527314+0j 3.9336823576997674e-05+0j
-0.03562718607884264+0j 0.0008904929505713797+0j
-0.03641805417263756+0j 0.0006360663932652631+0j
-0.036945299568500845+0j 0.0003816398359591467+0j
