-30.165999999999983 -8.449
2.080413793103448 0.5826896551724138
30 30
9.261782189060402e-05+0j -0.0022232418199794107+0j
-6.0604478180979206e-05+0j -0.0020655742987265055+0j
-5.551937548474865e-05+0j -0.0020655459742442168+0j
-5.0467281554155604e-05+0j -0.002065517649761928+0j
-4.544819638919656e-05+0j -0.002065489325279639+0j
-4.046211998987422e-05+0j -0.00206546100079735+0j
-3.5509052356186716e-05+0j -0.0020654326763150607+0j
-3.058899348813677e-05+0j -0.002065404351832772+0j
-2.5701943385722558e-05+0j -0.002065376027350483+0j
-2.0847902048942403e-05+0j -0.002065347702868194+0j
-1.602686947779804e-05+0j -0.002065319378385905+0j
-1.1238845672290228e-05+0j -0.0020652910539036163+0j
-6.483830632416553e-06+0j -0.002065262729421327+0j
-1.761824358181217e-06+0j -0.002065234404939038+0j
2.9271731504178938e-06+0j -0.0020652060804567493+0j
7.5831618933843304e-06+0j -0.00206517775597446+0j
1.2206141870713675e-05+0j -0.0020651494314921715+0j
1.679611308240636e-05+0j -0.0020651211070098823+0j
2.1353075528463336e-05+0j -0.0020650927825275936+0j
2.587702920888528e-05+0j -0.002065064458045305+0j
3.0367974123671134e-05+0j -0.0020650361335630154+0j
3.48259102728216e-05+0j -0.0020650078090807267+0j
3.925083765633609e-05+0j -0.0020649794845984375+0j
4.364275627421418e-05+0j -0.002064951160116149+0j
4.800166612645749e-05+0j -0.0020649228356338597+0j
5.2327567213065405e-05+0j -0.002064894511151571+0j
5.662045953403692e-05+0j -0.002064866186669282+0j
6.0880343089370485e-05+0j -0.002064837862186993+0j
6.510721787907105e-05+0j -0.002064809537704704+0j
-9.096525033761912e-05+0j -0.0022243288884609387+0j
6.495535113482451e-05+0j -0.006440106737000447+0j
0.00010454288080055135+0j -0.00645721663696658+0j
0.0001454106782515922+0j -0.0064743265369327195+0j
0.00018755874348794698+0j -0.006491436436898852+0j
3.258141271858143e-05+0j -0.00632283405173607+0j
3.00526052002835e-05+0j -0.006322746800610145+0j
2.7490788916348125e-05+0j -0.00632265954948422+0j
2.4895963866779534e-05+0j -0.006322572298358294+0j
2.2268130051575206e-05+0j -0.006322485047232369+0j
1.960728747073205e-05+0j -0.0063223977961064425+0j
1.6913436124256547e-05+0j -0.006322310544980518+0j
1.4186576012144872e-05+0j -0.006322223293854593+0j
1.1426707134395671e-05+0j -0.006322136042728667+0j
8.633829491012468e-06+0j -0.006322048791602742+0j
5.8079430819926335e-06+0j -0.006321961540476816+0j
2.949047907337631e-06+0j -0.00632187428935089+0j
